한국어,영어
컴퓨터,computer
타워,tower
모니터,moniter
드라마,drama
레이더,rader
로비,lobby
디저트,dessert
라벨,label
댄스,dance
하키,hockey
라이선스,licence
디지털,digital
드리블,dribble
리더십,leadership
리본,ribbon
링크,link
마스크,mask
머플러,muffler
몽타주,montage
미네랄,mineral
바캉스,vacance
바이러스,virus
배드민턴,badminton
배터리,battery
브랜드,brand
비스킷,biscuit
비즈니스,business
비키니,bikini
사우나,sauna
사이다,cider
사이렌,siren
사인,sign
사이클,cycle
색소폰,saxphone
샌들,sandal
샘플,sample
샤워,shower
샴푸,shampoo
세미나,seminar
세일,sale
셔츠,shirts
셔터,shutter
소켓,socket
소시지,sausage
소파,sofa
소프트웨어,software
쇼킹,shocking
스태프,staff
스탬프,stamp
스텝,step
스튜디오,studio
스파이크,spike
스틱,stick
스파크,spark
스폰서,sponsor
스프링클러,sprinkler
슬라이딩,sliding
스펀지,sponge
스프레이,spray
슬로건,slogan
슬리퍼,slipper
시나리오,scenario
스웨터,sweater
스핀,spin
스페어,spare
슬롯,slot
시리즈,series
시스템,system
심볼,symbol
실루엣,silhouette
심포니,symphony
스케줄,schedule
시소,seesaw
시트,sheet
아날로그,analogue
아르바이트,arbeit
아마추어,amateur
아메바,amoeba
아이디어,idea
악센트,accent
아이러니,irony
안테나,antenna
알루미늄,aluminium
앙상블,ensemble
앙코르,encore
애니메이션,animation
액세서리,acessory
앰뷸런스,ambulance
앵커,anchor
어시스트,assist
에너지,energy
에센스,essence
에메랄드,emerald
에세이,essay
에스키모,eskimo
에이스,ace
엔지니어,engineer
오리지널,original
에필로그,epilogue
오디오,audio
오케스트라,orchestra
오렌지,orange
주스,juice
오로라,aurora
오르간,organ
카드,card
왈츠,waltz
옵션,option
와이퍼,wiper
유머,humor
윙크,wink
인디언,indian
인스턴트,instant
인터폰,interphone
인플레이션,inflation
윈도우,window
요트,yacht
오프사이드,offside
요들,jodel
워크숍,workshop
유니온,union
유토피아,utopia
이니셜,initial
유니버셜,universal
이브,eve
인큐베이터,incubator
인터뷰,interview
재즈,jazz
제스터,gesture
점퍼,jumper
웨이트리스,waitress
조깅,jogging
제트,jet
엔진,engine
집시,gypsy
지퍼,zipper
렌즈,lens
줌,zoom
지프,jeep
조크,joke
주니어,junior
지그재그,zigzag
체인지,change
채널,channel
체크,check
치타,cheetah
카세트,cassette
카지노,casino
캐스트,cast
캔버스,canvas
캠페인,campaign
파이어,fire
캠프,camp
칵테일,cocktail
칼라,collar
캐럿,carat
캥거루,kangaroo
커닝,cunning
커튼,curtain
커미션,commission
커버,cover
컴퍼니,company
케이스,case
컴퍼스,compass
코너,corner
클라이맥스,climax
클래식,classic
클리닝,cleaning
킥,kick
퀸,queen
쿠폰,coupon
콤마,comma
콘테스트,contest
코스,course
플러그,plug
클리닝,cleaning
복싱,boxing
텍스트,text
튤립,tulip
트럭,truck
팀워크,teamwork
트레이너,trainer
파워,power
판다,panda
파트너,partner
팬텀,phantom
패키지,package
팸플릿,phamphlet
페인트,paint
페스티벌,festival
퍼레이드,parade
팩시밀리,facsimile
펌프,pump
포인트,point
프라이버시,privacy
프론트,front
플랫폼,platform
포즈,pose
패스,pass
플루트,flute
